date,post_2008,primary_product_exports,total_exports,soybeans,oil,iron_ore,copper,wheat,corn,usdbrl,neer,primary_product_exports_z_12,total_exports_z_12,soybeans_z_12,oil_z_12,iron_ore_z_12,wheat_z_12,corn_z_12,usdbrl_z_12,neer_z_12,primary_product_exports_z_3,total_exports_z_3,soybeans_z_3,oil_z_3,iron_ore_z_3,wheat_z_3,corn_z_3,usdbrl_z_3,neer_z_3
8/1/06,0,4254.74,13646.47,657.75,725.09,860.18,44.35,2.15,69.82,2.145,99.2,1.647683198,1.90338546,0.672783124,1.259860536,0.89016815,-0.571231241,1.863574197,-0.788988577,-0.004517411,0.32190726,0.711262782,-0.295273906,0.25180864,-0.391351097,-0.631284644148129,0.6177,-1.313198308,-1.025810675
9/1/06,0,4003.77,12556.05,449.12,970.1,786.79,68.07,0,45.35,2.169,99.14,1.101317918,0.996675871,-0.195101035,1.905387219,0.352217358,-0.850726139,0.743039999,-0.374311989,0.142109457,-1.121163535,-1.414180081,-1.130195814,1.143954349,-0.990861786,-1.40685863495617,-1.4088,0.39223227,-0.772940509
10/1/06,0,3715.21,12655.9,379.31,536.18,913.7,78.33,0,43.81,2.1418,97.72,0.578765484,0.90072972,-0.470817939,0.007408957,0.993895984,-0.850726139,0.555937126,-0.641462892,-0.359392934,-1.252175612,-0.603241998,-0.981360751,-1.168712561,1.156112626,-0.707106781186547,-0.7707,-0.834812073,-1.41330638
11/1/06,0,3413.39,11874.49,235.97,511.48,793.8,69.8,0,53.63,2.1649,98.62,0.111576597,0.337583538,-1.016508975,-0.11580164,0.247632713,-0.850726139,0.825565292,-0.258299213,-0.017401523,-1.233810443,-1.404434245,-1.339272977,-0.764933617,-0.646074853,,1.3991,0.528950442,0.215936977
12/1/06,0,3192.79,12250.21,116.68,745.33,711.09,46.14,0,38.89,2.1364,99.29,-0.241293765,0.504279484,-1.402539424,0.782616111,-0.208234956,-0.713550469,0.027571207,-0.573424545,0.354279004,-1.15662498,-0.031308027,-1.185704055,1.40766467,-1.143406278,,-1.0695,-0.914208365,1.160793171
1/1/07,0,3194.49,10966.85,138.46,708.4,866.13,28.91,0,62.28,2.1229,97.85,-0.304510565,-0.448474198,-1.28191922,0.620372396,0.603368002,-0.726364864,1.056768744,-0.700937436,-0.212827136,-0.698885762,-1.355678549,-0.486683466,0.519549016,1.19651892,,1.1060,-1.056711634,-1.252089478
2/1/07,0,2904.83,10107.26,206.56,484.41,718.15,38.89,0,51.82,2.1205,95.85,-1.008251181,-1.303848853,-1.040712742,-0.563173439,-0.394070382,-0.596263331,0.360633165,-0.740524492,-1.225062268,-1.414195188,-1.136629394,1.375540067,-1.402067944,-0.657147714,,0.0861,-0.871606468,-1.285538411
3/1/07,0,3731.71,12858.87,561.78,542.6,827.54,69.25,0,50.33,2.0594,96.14,0.402333713,0.802010113,0.38471699,-0.365103629,0.318813982,-0.73129459,0.11051927,-1.558577077,-1.17163094,1.32728796,1.34668748,1.398256989,-0.377992799,0.376545459,,-0.8426,-1.413427186,-0.536395469
4/1/07,0,4178.45,12433,844.9,695.03,767.61,112.43,0.05,95.31,2.0345,94.59,1.034917831,0.334388118,1.357572832,0.354177086,-0.212508957,-0.581693503,2.409374199,-1.727522051,-1.873784016,1.086874736,0.523680517,1.176135439,1.362677367,-0.078029954,1.4142135623731,1.4136,-1.023121069,-1.392147166
5/1/07,0,4374.21,13627.57,825.73,570.39,891.56,58.23,0.09,108.58,1.9246,92.5,1.191993861,1.221435555,1.197139605,-0.516510336,0.623874861,-0.450172303,2.245450728,-2.676690245,-2.075445747,1.039170285,1.3238583,0.631610878,-0.487044406,1.237991276,1.17696469855274,0.9564,-1.392747113,-1.280620401
